target,ref,is_self_pair,rank,signal_type,counter_trade,use_excess_return,threshold_width,hold_days,start_days,sma_period,trade_count,average_pct,std_pct,t_value,win_rate,positive_year_ratio,worst_year_profit,neighbor_expected_count,neighbor_valid_count,neighbor_coverage_ratio,neighbor_mean_t,neighbor_worst_t,neighbor_positive_ratio_expected,neighbor_t_ge_1_ratio_expected,signal_type_support_t_ge_1,signal_type_support_t_ge_2,eligible_task_count,eligible_task_positive_ratio,eligible_task_t_ge_1_ratio,eligible_mean_t,eligible_median_t
UK100_Futures,UK100_Futures,True,1589,stoch,True,False,30.000000000,20,1,50,161,0.684930298,5.005613477,1.736209004,48.447204969,66.666666667,-571.500000000,2,2,1.000000000,0.416112618,0.256863701,1.000000000,0.000000000,2,0,40,0.400000000,0.050000000,-0.185731904,-0.174673192
UK100_Futures,US30_Futures,False,4814,stoch,True,False,30.000000000,20,1,50,157,0.480717886,5.007024835,1.202985416,52.229299363,64.285714286,-1006.500000000,2,2,1.000000000,0.235353856,-0.459313526,0.500000000,0.000000000,2,0,40,0.450000000,0.050000000,-0.179859853,-0.186642078
UK100_Futures,USD_CAD,False,2969,bb,False,False,1.500000000,20,1,15,225,0.429236106,4.453450302,1.445742325,52.444444444,73.333333333,-659.500000000,8,8,1.000000000,0.941829103,0.397070617,1.000000000,0.375000000,3,0,40,0.475000000,0.075000000,-0.173818252,-0.158570948
UK100_Futures,USD_CHF,False,9451,bb,True,False,1.000000000,20,1,15,264,0.224939024,4.443527122,0.822505736,54.166666667,53.333333333,-761.000000000,5,5,1.000000000,-0.121738578,-0.557068268,0.400000000,0.000000000,0,0,40,0.375000000,0.000000000,-0.185320135,-0.180564699
UK100_Futures,USD_JPY,False,5831,change,True,False,1.000000000,20,1,100,209,0.321606611,4.223699754,1.100791513,53.110047847,66.666666667,-687.000000000,2,2,1.000000000,-0.277723693,-0.454801455,0.000000000,0.000000000,1,0,36,0.333333333,0.027777778,-0.179205958,-0.167724307
UK100_Futures,USSPX500_Futures,False,4062,bb,True,False,1.500000000,20,1,15,219,0.375023910,4.310806869,1.287426514,50.684931507,73.333333333,-1146.500000000,8,8,1.000000000,0.765030057,-0.477902468,0.750000000,0.375000000,3,0,42,0.404761905,0.095238095,-0.187931515,-0.186132479
UK100_Futures,ZAR_JPY,False,3208,bb,True,False,1.000000000,20,1,50,191,0.500824692,4.902357675,1.411878817,51.832460733,60.000000000,-680.000000000,5,5,1.000000000,0.394906391,-0.020587629,0.800000000,0.000000000,1,0,38,0.394736842,0.026315789,-0.193319178,-0.170889756
US30_Futures,AUD_JPY,False,6523,sma,False,False,1.000000000,20,1,100,191,0.346256607,4.615381593,1.036829009,57.068062827,50.000000000,-1740.000000000,2,2,1.000000000,0.414242620,0.273220409,1.000000000,0.000000000,2,0,36,0.444444444,0.055555556,-0.113398705,-0.109196933
US30_Futures,AUD_NZD,False,3955,change,True,False,1.000000000,20,1,200,184,0.375935284,3.918960020,1.301221313,54.891304348,57.142857143,-1895.000000000,1,1,1.000000000,-0.368466859,-0.368466859,0.000000000,0.000000000,2,0,36,0.333333333,0.083333333,-0.105748317,-0.110997376
US30_Futures,AUD_USD,False,2274,di,True,False,20.000000000,20,1,10,176,0.438306022,3.689979509,1.575831643,53.977272727,71.428571429,-1232.200000000,1,1,1.000000000,0.204502437,0.204502437,1.000000000,0.000000000,2,0,38,0.421052632,0.052631579,-0.115104186,-0.119814919
